"region","avstånd från hållplats","bostadsbestånd","2014","2015","2016","2017","2018","2019","2020","2021"
"0880 Kalmar","inom 500 meter från hållplats","samtliga bostäder",27282,27420,27443,27844,28512,29387,29586,30165
"0881 Nybro","inom 500 meter från hållplats","samtliga bostäder",4286,4341,4314,4352,5062,5849,5130,5228
"0882 Oskarshamn","inom 500 meter från hållplats","samtliga bostäder",10978,10985,10992,11058,11229,11250,11257,11281
"0883 Västervik","inom 500 meter från hållplats","samtliga bostäder",14128,13896,13938,13945,14842,14676,14498,14475
"0884 Vimmerby","inom 500 meter från hållplats","samtliga bostäder",4582,4590,4590,4619,4859,4865,4699,4734
"0885 Borgholm","inom 500 meter från hållplats","samtliga bostäder",2071,2086,2304,2218,2495,2317,2508,2304
"0980 Gotland","inom 500 meter från hållplats","samtliga bostäder",16455,16959,17645,17873,19115,19423,20069,20217
"1060 Olofström","inom 500 meter från hållplats","samtliga bostäder",4408,4284,4232,4236,3973,3922,3931,4311
"1080 Karlskrona","inom 500 meter från hållplats","samtliga bostäder",24500,24558,24562,25581,25960,25846,26271,26400
"1081 Ronneby","inom 500 meter från hållplats","samtliga bostäder",8898,9067,8917,8914,9505,9638,9637,9684
"1082 Karlshamn","inom 500 meter från hållplats","samtliga bostäder",12493,12394,12540,12706,13042,13039,12910,12823
"1083 Sölvesborg","inom 500 meter från hållplats","samtliga bostäder",6190,6297,6342,6264,6170,6095,6153,6165
"1214 Svalöv","inom 500 meter från hållplats","samtliga bostäder",3523,3579,3586,3713,3747,3682,3729,3748
"1230 Staffanstorp","inom 500 meter från hållplats","samtliga bostäder",7054,7083,7726,7826,7964,8257,8408,8528
"1231 Burlöv","inom 500 meter från hållplats","samtliga bostäder",6145,6153,6139,6225,6283,6571,7166,7216
"1233 Vellinge","inom 500 meter från hållplats","samtliga bostäder",9833,9940,10090,10349,10563,10474,10555,10721
"1256 Östra Göinge","inom 500 meter från hållplats","samtliga bostäder",3712,3603,3578,3638,3653,3676,3674,3664
"1257 Örkelljunga","inom 500 meter från hållplats","samtliga bostäder",2373,2387,2401,2405,2492,2511,2523,2553
"1260 Bjuv","inom 500 meter från hållplats","samtliga bostäder",4909,4910,4910,4920,4954,4986,4992,4667
"1261 Kävlinge","inom 500 meter från hållplats","samtliga bostäder",6561,7073,6695,6769,6858,6947,7049,7104
"1262 Lomma","inom 500 meter från hållplats","samtliga bostäder",7870,7939,8153,8342,8615,8594,8964,8965
"1263 Svedala","inom 500 meter från hållplats","samtliga bostäder",6194,6234,6247,6461,6614,6788,6839,6948
"1264 Skurup","inom 500 meter från hållplats","samtliga bostäder",2910,2919,3382,3398,3528,3605,3738,3913
"1265 Sjöbo","inom 500 meter från hållplats","samtliga bostäder",3560,4400,3619,3693,3734,3745,3735,3770
"1266 Hörby","inom 500 meter från hållplats","samtliga bostäder",3058,3136,3139,3158,2991,3211,3220,3286
"1267 Höör","inom 500 meter från hållplats","samtliga bostäder",4365,4562,4473,4500,4523,4557,4524,4699
"1270 Tomelilla","inom 500 meter från hållplats","samtliga bostäder",2568,2945,2598,2646,3031,3618,3665,3675
"1272 Bromölla","inom 500 meter från hållplats","samtliga bostäder",3521,3521,3555,3644,3610,3654,3647,3648
"1273 Osby","inom 500 meter från hållplats","samtliga bostäder",2970,3308,3310,3352,3411,3432,3435,3077
"1275 Perstorp","inom 500 meter från hållplats","samtliga bostäder",1002,1002,1003,1003,1008,1003,998,1046
"1276 Klippan","inom 500 meter från hållplats","samtliga bostäder",3998,4010,4011,4046,4059,4057,4113,4141
"1277 Åstorp","inom 500 meter från hållplats","samtliga bostäder",4578,4579,4511,4549,4618,4630,5022,4637
"1278 Båstad","inom 500 meter från hållplats","samtliga bostäder",3932,3941,3608,4330,4495,4646,4774,4785
"1280 Malmö","inom 500 meter från hållplats","samtliga bostäder",151547,152770,154324,158311,162130,164687,168186,170727
"1281 Lund","inom 500 meter från hållplats","samtliga bostäder",54926,55496,56296,57368,57933,60056,60316,61701
"1282 Landskrona","inom 500 meter från hållplats","samtliga bostäder",18227,18347,18438,18573,18743,18819,18727,19361
"1283 Helsingborg","inom 500 meter från hållplats","samtliga bostäder",61913,62146,63316,65144,66418,67018,67360,68169
"1284 Höganäs","inom 500 meter från hållplats","samtliga bostäder",9488,9509,9576,9630,9723,9737,9950,9897
"1285 Eslöv","inom 500 meter från hållplats","samtliga bostäder",11498,11635,11812,11678,11744,11844,12094,11902
"1286 Ystad","inom 500 meter från hållplats","samtliga bostäder",11822,12005,11878,12097,12366,12544,12813,13201
"1287 Trelleborg","inom 500 meter från hållplats","samtliga bostäder",16832,16976,17173,17499,18050,18167,17892,18178
"1290 Kristianstad","inom 500 meter från hållplats","samtliga bostäder",28433,28638,29034,29290,29525,30232,30384,30511
"1291 Simrishamn","inom 500 meter från hållplats","samtliga bostäder",6202,7810,6636,6654,7493,7533,7527,7635
"1292 Ängelholm","inom 500 meter från hållplats","samtliga bostäder",15537,15623,15771,15941,16579,16947,17244,17557
"1293 Hässleholm","inom 500 meter från hållplats","samtliga bostäder",14339,15076,15078,15147,15195,15072,15339,15245
"1315 Hylte","inom 500 meter från hållplats","samtliga bostäder",2702,2702,2666,2654,2792,2813,2862,2850
"1380 Halmstad","inom 500 meter från hållplats","samtliga bostäder",41747,42029,42398,43385,44028,44553,45324,45733
"1381 Laholm","inom 500 meter från hållplats","samtliga bostäder",7283,7292,6965,7019,7765,7502,7617,7992
"1382 Falkenberg","inom 500 meter från hållplats","samtliga bostäder",15284,15295,15039,15276,15878,16300,16511,16826
"1383 Varberg","inom 500 meter från hållplats","samtliga bostäder",21327,21268,21468,21798,22470,22853,23125,23729
"1384 Kungsbacka","inom 500 meter från hållplats","samtliga bostäder",21730,21995,22497,23045,23676,23963,24891,24678
"1401 Härryda","inom 500 meter från hållplats","samtliga bostäder",11649,11749,11820,12106,12168,12329,12690,13083
"1402 Partille","inom 500 meter från hållplats","samtliga bostäder",14312,14436,14534,14839,15419,15514,15534,15532
"1407 Öckerö","inom 500 meter från hållplats","samtliga bostäder",4384,4406,4436,4521,4502,4784,4798,4792
"1415 Stenungsund","inom 500 meter från hållplats","samtliga bostäder",7906,7922,7992,8187,8244,8453,8666,8915
"1419 Tjörn","inom 500 meter från hållplats","samtliga bostäder",4255,4262,4261,4788,5218,5104,5213,5232
"1421 Orust","inom 500 meter från hållplats","samtliga bostäder",3857,3865,3879,3893,3983,4022,4065,4024
"1427 Sotenäs","inom 500 meter från hållplats","samtliga bostäder",3255,3260,3316,3461,3589,3638,3616,3612
"1430 Munkedal","inom 500 meter från hållplats","samtliga bostäder",2894,2926,2938,2940,2835,2870,2885,2891
"1435 Tanum","inom 500 meter från hållplats","samtliga bostäder",2220,2224,2281,2279,2845,2583,2594,2674
"1438 Dals-Ed","inom 500 meter från hållplats","samtliga bostäder",1127,1133,1315,1415,1434,1778,1431,1428
"1439 Färgelanda","inom 500 meter från hållplats","samtliga bostäder",1749,1749,1749,1749,1752,1741,1753,1749
"1440 Ale","inom 500 meter från hållplats","samtliga bostäder",9240,9399,9552,10011,10120,10917,11006,11212
"1441 Lerum","inom 500 meter från hållplats","samtliga bostäder",12121,12196,12624,13019,13345,13579,13630,13656
"1442 Vårgårda","inom 500 meter från hållplats","samtliga bostäder",2618,2696,2769,2917,2955,2993,3003,3038
"1443 Bollebygd","inom 500 meter från hållplats","samtliga bostäder",1731,1803,1861,1917,1924,1942,1948,1980
"1444 Grästorp","inom 500 meter från hållplats","samtliga bostäder",1052,1134,1136,1146,1236,1239,1308,834
"1445 Essunga","inom 500 meter från hållplats","samtliga bostäder",1063,988,1064,1171,1379,1429,1458,1461
"1446 Karlsborg","inom 500 meter från hållplats","samtliga bostäder",2628,2645,2700,2704,2755,2768,2745,2759
"1447 Gullspång","inom 500 meter från hållplats","samtliga bostäder",1566,1568,1568,1658,1968,1970,1963,1987
"1452 Tranemo","inom 500 meter från hållplats","samtliga bostäder",2603,2611,2627,2630,3444,3473,2981,3558
"1460 Bengtsfors","inom 500 meter från hållplats","samtliga bostäder",2161,2162,2224,2235,3126,3144,3119,3105
"1461 Mellerud","inom 500 meter från hållplats","samtliga bostäder",2109,2091,2109,2087,2267,2296,2291,2292
"1462 Lilla Edet","inom 500 meter från hållplats","samtliga bostäder",4116,4108,4132,4169,4242,4241,4278,4295
"1463 Mark","inom 500 meter från hållplats","samtliga bostäder",9001,9103,9134,9187,9313,9294,9356,9439
"1465 Svenljunga","inom 500 meter från hållplats","samtliga bostäder",2575,2575,2594,2650,2684,2726,2724,2731
"1466 Herrljunga","inom 500 meter från hållplats","samtliga bostäder",1889,1889,1782,1798,1837,1849,1367,2216
"1470 Vara","inom 500 meter från hållplats","samtliga bostäder",3279,3287,3287,3307,4036,3982,3914,4104
"1471 Götene","inom 500 meter från hållplats","samtliga bostäder",3086,3086,3083,3114,3237,3380,3200,3207
"1472 Tibro","inom 500 meter från hållplats","samtliga bostäder",3469,3476,3480,3527,3611,3619,3633,2346
"1473 Töreboda","inom 500 meter från hållplats","samtliga bostäder",2285,2302,2306,2400,2403,2477,2478,2470
"1480 Göteborg","inom 500 meter från hållplats","samtliga bostäder",258108,260488,262473,265762,269491,273173,278047,283235
"1481 Mölndal","inom 500 meter från hållplats","samtliga bostäder",26125,26415,26996,28165,28769,29036,29424,29453
"1482 Kungälv","inom 500 meter från hållplats","samtliga bostäder",13216,13396,13468,13767,14427,15560,16092,16250
"1484 Lysekil","inom 500 meter från hållplats","samtliga bostäder",5997,6001,6016,5989,6336,6159,6230,6231
"1485 Uddevalla","inom 500 meter från hållplats","samtliga bostäder",22184,22175,22306,22595,23013,23180,23231,23328
"1486 Strömstad","inom 500 meter från hållplats","samtliga bostäder",3796,3814,3996,3992,4176,4260,4589,4516
"1487 Vänersborg","inom 500 meter från hållplats","samtliga bostäder",14797,14879,14840,15118,14732,15343,15577,15800
"1488 Trollhättan","inom 500 meter från hållplats","samtliga bostäder",24953,25111,25244,25809,25881,26298,26505,26602
"1489 Alingsås","inom 500 meter från hållplats","samtliga bostäder",13919,14064,14303,14559,15116,15602,15909,15938
"1490 Borås","inom 500 meter från hållplats","samtliga bostäder",46314,46180,46298,46884,47284,47616,47578,47745
"1491 Ulricehamn","inom 500 meter från hållplats","samtliga bostäder",7729,7819,7996,8112,8192,8222,8409,8494
"1492 Åmål","inom 500 meter från hållplats","samtliga bostäder",4989,4959,4975,5032,5356,5347,5375,5365
"1493 Mariestad","inom 500 meter från hållplats","samtliga bostäder",9311,9299,9355,9498,9464,9718,9754,9948
"1494 Lidköping","inom 500 meter från hållplats","samtliga bostäder",14973,15041,15236,15342,15639,15679,15717,15804
"1495 Skara","inom 500 meter från hållplats","samtliga bostäder",5591,6810,7292,7224,7299,7232,7239,7228
"1496 Skövde","inom 500 meter från hållplats","samtliga bostäder",22904,23048,22971,23343,24031,24700,25004,25156
"1497 Hjo","inom 500 meter från hållplats","samtliga bostäder",2996,2998,2999,3038,3072,3078,3065,3081
"1498 Tidaholm","inom 500 meter från hållplats","samtliga bostäder",4219,4187,4159,4163,4388,4388,4234,4440
"1499 Falköping","inom 500 meter från hållplats","samtliga bostäder",11270,11284,11315,11406,11430,11514,11583,11626
"1715 Kil","inom 500 meter från hållplats","samtliga bostäder",2415,2416,2545,2596,2594,2631,2632,2641
"1730 Eda","inom 500 meter från hållplats","samtliga bostäder",1431,1440,1472,1482,1892,1869,1869,1861
"1737 Torsby","inom 500 meter från hållplats","samtliga bostäder",1361,1361,1349,1218,2113,2041,2123,2310
"1760 Storfors","inom 500 meter från hållplats","samtliga bostäder",875,956,956,998,994,996,1004,996
"1761 Hammarö","inom 500 meter från hållplats","samtliga bostäder",5200,5197,5286,5294,5357,5445,5472,5474
"1762 Munkfors","inom 500 meter från hållplats","samtliga bostäder",1020,1020,1020,1119,1139,1155,1154,1150
"1763 Forshaga","inom 500 meter från hållplats","samtliga bostäder",3629,3629,3629,3698,3718,3735,3746,3744
"1764 Grums","inom 500 meter från hållplats","samtliga bostäder",3268,3273,3276,3281,3303,3257,3121,3118
"1765 Årjäng","inom 500 meter från hållplats","samtliga bostäder",1089,1138,1138,1148,1150,1153,1660,1712
"1766 Sunne","inom 500 meter från hållplats","samtliga bostäder",2023,2167,2319,2323,2366,2417,2456,2495
"1780 Karlstad","inom 500 meter från hållplats","samtliga bostäder",42751,42985,43838,44409,45447,46157,46762,47180
"1781 Kristinehamn","inom 500 meter från hållplats","samtliga bostäder",7539,7455,6566,5812,5809,8299,8334,8356
"1782 Filipstad","inom 500 meter från hållplats","samtliga bostäder",2921,2922,2922,2928,2959,2946,2963,2956
"1783 Hagfors","inom 500 meter från hållplats","samtliga bostäder",3387,3388,3388,3404,4028,4074,4055,4044
"1784 Arvika","inom 500 meter från hållplats","samtliga bostäder",9125,9146,7265,7504,7679,9880,9859,9917
"1785 Säffle","inom 500 meter från hållplats","samtliga bostäder",4634,4840,3953,4051,4093,5230,5241,5280
"1814 Lekeberg","inom 500 meter från hållplats","samtliga bostäder",1574,1696,1718,1795,1819,1846,1910,1945
"1860 Laxå","inom 500 meter från hållplats","samtliga bostäder",1061,1347,1823,1847,1428,1320,1309,1315
"1861 Hallsberg","inom 500 meter från hållplats","samtliga bostäder",4512,4714,4939,4938,4765,4718,4846,4841
"1862 Degerfors","inom 500 meter från hållplats","samtliga bostäder",2624,2624,3487,3664,3675,3679,3664,3665
"1863 Hällefors","inom 500 meter från hållplats","samtliga bostäder",2404,2401,2253,2268,2273,2353,2271,2264
"1864 Ljusnarsberg","inom 500 meter från hållplats","samtliga bostäder",1353,1363,1363,1351,1360,1362,1362,1361
"1880 Örebro","inom 500 meter från hållplats","samtliga bostäder",63577,65677,65885,67962,68976,69091,70465,70973
"1881 Kumla","inom 500 meter från hållplats","samtliga bostäder",7555,7549,7870,7922,7424,7729,7586,8045
"1882 Askersund","inom 500 meter från hållplats","samtliga bostäder",2407,2448,2243,2405,2407,2363,2478,2470
"1883 Karlskoga","inom 500 meter från hållplats","samtliga bostäder",13853,13735,13004,13094,13266,13374,13404,13186
"1884 Nora","inom 500 meter från hållplats","samtliga bostäder",3807,3832,3981,3996,4014,4006,4022,4041
"1885 Lindesberg","inom 500 meter från hållplats","samtliga bostäder",6237,6238,6298,6409,6524,6542,6584,6577
"1904 Skinnskatteberg","inom 500 meter från hållplats","samtliga bostäder",1395,1242,1237,1270,1668,1674,1578,1278
"1907 Surahammar","inom 500 meter från hållplats","samtliga bostäder",3009,3009,1244,1819,2170,2771,2803,1880
"1960 Kungsör","inom 500 meter från hållplats","samtliga bostäder",2597,2237,2245,2249,2254,2228,2025,2011
"1961 Hallstahammar","inom 500 meter från hållplats","samtliga bostäder",5423,5466,3817,3859,3871,3897,3856,5587
"1962 Norberg","inom 500 meter från hållplats","samtliga bostäder",2646,2644,2616,2568,2590,2576,2577,2569
"1980 Västerås","inom 500 meter från hållplats","samtliga bostäder",60452,62120,62546,64049,66692,67760,66438,67072
"1981 Sala","inom 500 meter från hållplats","samtliga bostäder",7917,8513,8505,8574,8623,8656,8687,8671
"1982 Fagersta","inom 500 meter från hållplats","samtliga bostäder",5088,5088,5088,5097,5107,5082,5063,5082
"1983 Köping","inom 500 meter från hållplats","samtliga bostäder",4814,4817,4861,4864,4889,4894,4898,4877
"1984 Arboga","inom 500 meter från hållplats","samtliga bostäder",4254,4460,4904,4920,5028,5037,5015,2196
"2021 Vansbro","inom 500 meter från hållplats","samtliga bostäder",1250,1681,1621,1511,1976,1993,1039,1821
"2023 Malung-Sälen","inom 500 meter från hållplats","samtliga bostäder",1898,1886,1665,2070,2058,2196,3683,3720
"2026 Gagnef","inom 500 meter från hållplats","samtliga bostäder",1303,1878,1844,1868,2141,2155,2265,2363
"2029 Leksand","inom 500 meter från hållplats","samtliga bostäder",4872,5030,5045,5094,5502,5607,4191,4210
"2031 Rättvik","inom 500 meter från hållplats","samtliga bostäder",3407,3434,3436,3431,3723,3964,3049,3071
"2034 Orsa","inom 500 meter från hållplats","samtliga bostäder",2167,2260,2157,2227,3087,2877,2952,2956
"2039 Älvdalen","inom 500 meter från hållplats","samtliga bostäder",839,1183,1172,1169,2038,1966,2117,2149
"2061 Smedjebacken","inom 500 meter från hållplats","samtliga bostäder",3356,3300,3509,3599,3673,4179,4159,4142
"2062 Mora","inom 500 meter från hållplats","samtliga bostäder",7990,7893,7988,8048,8689,8771,8831,8858
"2080 Falun","inom 500 meter från hållplats","samtliga bostäder",23754,24235,24084,24308,24861,25640,26040,26334
"2081 Borlänge","inom 500 meter från hållplats","samtliga bostäder",21651,22031,22437,22608,22960,23260,23370,23526
"2082 Säter","inom 500 meter från hållplats","samtliga bostäder",3093,3583,3584,3582,3967,3937,4025,2751
"2083 Hedemora","inom 500 meter från hållplats","samtliga bostäder",4519,5495,5561,5667,6262,6260,6261,5614
"2084 Avesta","inom 500 meter från hållplats","samtliga bostäder",9195,9321,9264,9433,9978,9791,9735,8946
"2085 Ludvika","inom 500 meter från hållplats","samtliga bostäder",11422,11560,11553,11637,12142,12645,12674,12726
"2101 Ockelbo","inom 500 meter från hållplats","samtliga bostäder",1241,1241,1241,1245,1248,1254,1256,1275
"2104 Hofors","inom 500 meter från hållplats","samtliga bostäder",3844,3844,3844,3844,3846,3843,3839,3823
"2121 Ovanåker","inom 500 meter från hållplats","samtliga bostäder",2873,2904,2912,2931,3157,2974,3027,3360
"2132 Nordanstig","inom 500 meter från hållplats","samtliga bostäder",2622,2810,2566,2583,2901,2938,2939,2936
"2161 Ljusdal","inom 500 meter från hållplats","samtliga bostäder",5226,5209,6013,6111,6013,6085,6101,6116
"2180 Gävle","inom 500 meter från hållplats","samtliga bostäder",45120,45187,45563,46684,47337,48070,48269,48819
"2181 Sandviken","inom 500 meter från hållplats","samtliga bostäder",16354,16403,16017,16075,16588,16712,16763,16759
"2182 Söderhamn","inom 500 meter från hållplats","samtliga bostäder",11188,11188,11192,11318,11296,11322,11289,11138
"2183 Bollnäs","inom 500 meter från hållplats","samtliga bostäder",10186,10186,10187,10258,10410,10330,10419,10229
"2184 Hudiksvall","inom 500 meter från hållplats","samtliga bostäder",13688,13702,13718,13769,14269,14553,14506,14512
"2260 Ånge","inom 500 meter från hållplats","samtliga bostäder",1582,1705,1655,1673,3198,3376,3229,3209
"2262 Timrå","inom 500 meter från hållplats","samtliga bostäder",5497,4673,5600,5762,6009,6436,6645,6575
